id,question,persona,theme,geo,kind,status,stage_broken,minutes,notes
Q068,"A desigualdade entre ricos e pobres aumentou ou diminuiu?",jornalista,sociedade,nacional,interp,todo,,,
Q069,"Quantas crianças vivem em situação de pobreza?",ativista,sociedade,nacional,lookup,todo,,,
Q070,"Quantos pensionistas recebem menos de 500 euros por mês?",jornalista,sociedade,nacional,lookup,todo,,,
Q071,"Quantas pessoas recebem RSI e como evoluiu?",investigador,sociedade,nacional,lookup,todo,,,
Q072,"A criminalidade está mesmo a aumentar ou é só impressão?",cidadão,justiça,nacional,interp,todo,,,
Q073,"Quanto tempo demora em média um processo nos tribunais?",empresário,justiça,nacional,lookup,todo,,,
Q074,"Quantos presos há em Portugal e a prisão está sobrelotada?",jornalista,justiça,nacional,combo,todo,,,
Q075,"As denúncias de violência doméstica estão a aumentar?",ativista,justiça,nacional,interp,todo,,,
Q076,"Portugal tem mais ou menos polícias por habitante do que os outros países?",cidadão,justiça,europa,combo,todo,,,
Q077,"Em que concelhos há mais crimes por habitante?",jornalista,justiça,municipal,combo,todo,,,
Q078,"Que percentagem da nossa eletricidade vem de renováveis?",estudante,ambiente,nacional,lookup,todo,,,
Q079,"Ardeu mais floresta nesta década do que na anterior?",jornalista,ambiente,nacional,combo,todo,,,
Q080,"Reciclamos mais do que há dez anos, e chega para as metas europeias?",cidadão,ambiente,europa,combo,todo,,,
Q081,"Quantos carros elétricos há em Portugal?",cidadão,ambiente,nacional,lookup,todo,,,
Q082,"O consumo de água por pessoa está a diminuir?",investigador,ambiente,nacional,lookup,todo,,,
Q083,"As emissões de CO2 de Portugal estão a descer?",ativista,ambiente,nacional,lookup,todo,,,
Q084,"Qual o concelho com mais área ardida nos últimos cinco anos?",jornalista,ambiente,municipal,combo,todo,,,
Q085,"Quantas famílias portuguesas têm internet em casa?",investigador,digital,nacional,lookup,todo,,,
Q086,"Que percentagem dos idosos usa a internet?",jornalista,digital,nacional,lookup,todo,,,
Q087,"Os portugueses compram online mais ou menos do que os outros europeus?",empresário,digital,europa,combo,todo,,,
Q088,"Quantas casas têm fibra ótica no interior do país?",autarca,digital,municipal,lookup,todo,,,
Q089,"A abstenção tem aumentado em todas as eleições?",estudante,política,nacional,interp,todo,,,
Q090,"Quantas mulheres há no Parlamento hoje em comparação com 1980?",jornalista,política,nacional,lookup,todo,,,
Q091,"Os jovens votam menos do que os mais velhos?",investigador,política,nacional,lookup,todo,,,
Q092,"Em que concelhos se vota mais?",jornalista,política,municipal,lookup,todo,,,
Q093,"Quantos eleitores portugueses vivem no estrangeiro?",emigrante,política,nacional,lookup,todo,,,
Q094,"Quantos livros se publicam por ano em Portugal?",estudante,cultura,nacional,lookup,todo,,,
Q095,"As idas ao cinema recuperaram depois da pandemia?",jornalista,cultura,nacional,lookup,todo,,,
Q096,"Quanto gastam as famílias em cultura?",investigador,cultura,nacional,lookup,todo,,,
Q097,"Quantos museus há em Portugal e quantos visitantes têm?",cidadão,cultura,nacional,combo,todo,,,
Q098,"Quantos animais de companhia estão registados em Portugal?",cidadão,sociedade,nacional,lookup,todo,,,
Q099,"Quantos acidentes rodoviários mortais há por ano, e estamos melhor do que a média da UE?",cidadão,sociedade,europa,combo,todo,,,
Q100,"O interior está mesmo a ficar despovoado ou há concelhos a recuperar?",jornalista,demografia,municipal,interp,todo,,,
